det	conf	occ	p1 p2 p3 p4 p5 p6 v1 v2 v3 v4 v5 size	ratio(w/h)
0	0	0	1 0 0 0 0 1 0 0 1 1 1	2107	0.875
0	0	0	1 1 1 0 1 1 0 0 0 1 0	4800	1.939
0	0	0	1 1 1 0 1 1 0 0 0 1 0	5656	1.818
0	0	0	1 1 1 0 1 1 0 0 0 1 0	962	1.440
0	0	1	1 1 1 0 1 1 0 0 0 1 0	1222	1.840
0	0	0	1 0 0 0 1 1 0 0 0 1 0	459	1.625
0	0	0	1 0 0 0 1 1 0 0 0 1 0	522	1.647
0	0	0	1 1 1 0 1 1 0 1 0 1 0	6545	1.105
0	0	1	1 1 1 1 1 1 0 0 0 1 0	5848	1.269
1	-0.14649	1	1 1 1 0 0 1 1 0 0 1 0	65046	1.321
1	-0.494	0	1 1 1 1 1 1 1 0 0 1 0	182910	1.132
0	0	0	1 1 1 0 0 1 0 0 1 1 0	18690	0.588
0	0	0	1 1 1 1 1 1 0 0 1 1 0	6864	1.130
0	0	0	1 0 0 1 1 1 0 0 0 1 0	21679	1.227
1	-1.2466	0	1 0 0 1 1 1 0 0 1 0 0	28340	0.594
1	0.22372	0	1 1 1 1 1 1 0 0 0 1 0	50496	0.729
1	0.31453	0	1 1 1 0 1 0 0 0 0 1 0	19548	1.682
1	-0.025677	0	1 1 1 0 1 1 0 0 0 1 0	24380	1.851
0	0	0	1 0 0 0 1 0 0 0 0 1 0	2132	1.275
1	0.32965	0	1 1 1 0 0 1 0 0 1 0 0	87720	0.741
0	0	0	1 1 1 0 1 0 0 1 0 1 0	21296	1.458
0	0	2	1 1 1 1 1 1 0 0 0 1 0	42244	1.320
1	-0.89485	0	1 1 1 0 0 0 0 0 0 1 0	144255	0.602
0	0	0	1 1 1 0 1 0 0 0 0 1 1	45300	1.993
1	-0.17621	1	1 1 1 0 0 1 0 1 0 1 0	32752	1.034
1	0.11595	0	1 1 1 1 1 1 0 0 1 1 1	102828	1.702
0	0	2	1 0 0 0 0 1 0 0 0 1 0	23968	2.104
1	-0.16045	1	0 1 1 1 0 1 0 0 0 1 0	85140	0.781
1	0.015548	1	1 1 1 1 1 1 0 0 0 1 0	87612	1.014
0	0	0	1 1 1 0 0 0 0 0 0 1 0	63438	1.336
1	-0.37918	0	1 1 1 0 0 0 0 0 1 0 0	140595	0.678
0	0	1	1 1 1 1 1 1 1 1 0 0 0	38794	0.363
1	-0.93211	0	1 1 1 0 1 1 1 1 0 1 0	19440	1.673
0	0	0	1 0 1 1 1 0 0 0 0 1 0	3087	1.292
1	-0.99301	0	1 1 1 0 1 1 0 0 0 1 0	28860	0.842
1	-0.34359	1	1 1 1 1 1 1 1 1 0 0 0	26781	0.475
0	0	1	1 1 1 1 1 1 0 0 0 1 0	29666	1.117
1	-0.68866	1	1 1 1 1 1 1 0 0 0 1 0	28875	1.061
0	0	1	1 1 1 0 1 1 0 1 0 0 0	9576	0.411
0	0	1	1 1 1 0 1 1 0 1 0 0 0	12474	0.346
1	-0.80771	0	1 0 0 0 1 1 0 0 1 1 0	3589	0.375
1	-0.64291	1	1 0 1 1 1 0 0 0 0 1 0	6956	0.785
1	-0.43466	0	1 0 1 1 1 0 0 0 0 1 0	3640	1.164
0	0	1	1 1 1 1 0 1 0 0 0 1 0	52722	1.294
1	-0.04473	0	1 1 1 1 1 1 0 0 0 1 0	52650	0.721
1	-0.38818	0	1 1 1 0 1 1 0 0 0 1 1	22145	0.477
1	0.2568	1	1 1 1 1 1 1 1 0 0 1 0	61446	0.710
1	-0.50649	0	1 1 1 0 0 0 0 1 0 1 1	113250	1.243
1	0.3433	0	1 1 1 1 1 1 0 0 0 1 1	72357	0.985
0	0	0	1 1 1 1 0 1 0 1 0 1 0	3150	0.554
0	0	0	1 0 0 0 1 1 0 0 1 1 0	2809	1.000
0	0	0	1 0 1 1 0 0 0 0 0 1 0	7802	1.134
0	0	0	1 1 1 0 0 0 0 0 1 0 0	95861	0.688
1	0.35056	0	1 1 1 1 1 1 0 0 0 1 0	75144	1.846
0	0	0	1 1 1 1 1 0 0 1 0 1 0	3127	1.115
0	0	0	1 1 1 0 1 1 0 0 1 1 0	9280	0.687
1	-0.13586	0	1 0 0 1 1 1 0 0 1 1 0	53300	0.788
1	-0.23087	0	1 1 1 0 0 1 0 0 0 1 0	98532	0.950
1	-0.3849	1	1 1 1 1 1 1 0 0 0 1 0	68625	0.737
1	0.15534	0	0 1 0 0 1 1 0 0 1 0 0	130900	0.936
1	-0.59323	1	1 1 1 1 0 0 0 1 0 0 0	23870	0.505
0	0	1	1 1 1 1 1 1 0 1 0 1 0	21774	0.595
1	0.12711	1	1 1 1 1 0 1 1 1 0 1 0	124310	1.294
1	-0.51397	0	1 1 1 0 1 1 0 0 0 1 0	8700	1.554
1	-0.60671	0	1 1 1 0 0 1 0 0 0 1 0	80585	1.566
0	0	0	1 1 1 1 1 1 0 0 0 1 0	27537	1.471
1	-0.97711	0	1 1 1 1 1 1 0 1 0 1 0	10212	0.827
1	-0.6294	0	1 1 1 0 0 1 0 1 0 1 0	7227	0.735
0	0	1	1 1 1 1 1 1 0 0 0 1 1	36816	1.516
1	-0.043788	0	1 1 1 0 1 1 0 0 0 1 1	40040	2.050
1	-0.40968	0	1 1 1 0 0 1 1 1 0 0 0	17582	0.791
1	0.51512	0	0 0 1 0 1 1 0 0 1 0 0	71640	1.813
0	0	0	1 0 0 1 1 1 0 0 0 1 0	2392	0.882
0	0	0	1 0 0 1 1 1 0 1 0 1 0	2805	1.080
1	0.2246	0	1 1 1 1 1 1 0 1 0 1 0	46144	1.088
1	-0.37461	1	1 1 1 1 1 1 0 0 0 1 0	45568	1.441
1	0.20165	0	1 1 1 0 0 0 0 1 0 1 1	140506	1.323
0	0	0	1 1 1 1 1 1 0 0 0 1 0	49680	0.365
1	-0.526	0	1 1 1 0 1 1 0 0 0 1 0	74100	1.215
0	0	1	1 0 0 1 1 1 1 1 0 0 0	2584	0.552
0	0	1	1 0 0 0 1 1 1 1 0 0 0	2701	0.500
1	-0.47573	2	1 1 1 1 1 1 1 0 0 1 0	9936	0.476
